Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
SPROHSA109395	SPROHSA109395	SPROHSA109395		88	false	false		SPROHSA109395		11.36	1.0000	0.9963	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA226254, SPROHSA226255, SPROHSA226256, SPROHSA252332
SPROHSA10943	SPROHSA10943	SPROHSA10943		75	false	false		SPROHSA10943		14.67	1.0000	0.9945	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA243788, SPROHSA273859, SPROHSA27812, SPROHSA292304, SPROHSA304111, SPROHSA310726, SPROHSA310727, SPROHSA310728, SPROHSA322995, SPROHSA330702, SPROHSA330703, SPROHSA355244, SPROHSA64779, SPROHSA64780, SPROHSA64781, SPROHSA74708, SPROHSA82859
SPROHSA109438	SPROHSA109438	SPROHSA109438		62	false	false		SPROHSA109438		16.13	1.0000	0.9970	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			SPROHSA111422, SPROHSA117080, SPROHSA127595, SPROHSA211265, SPROHSA211266, SPROHSA268866, SPROHSA268867, SPROHSA318845
SPROHSA109714	SPROHSA109714	SPROHSA109714		97	false	false		SPROHSA109714		11.34	1.0000	0.9945	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA170485
SPROHSA109770	SPROHSA109770	SPROHSA109770		30	false	false		SPROHSA109770		30.00	1.0000	0.9772	0.00288184438040	1	0	1	3	0	3	     0	     0	     0			SPROHSA110103, SPROHSA111604, SPROHSA138731, SPROHSA160406, SPROHSA160407, SPROHSA160408, SPROHSA160409, SPROHSA190947, SPROHSA190948, SPROHSA190949, SPROHSA190950, SPROHSA190951, SPROHSA190952, SPROHSA190953, SPROHSA207834, SPROHSA207835, SPROHSA207836, SPROHSA207837, SPROHSA247611, SPROHSA247612, SPROHSA247613, SPROHSA247614, SPROHSA247615, SPROHSA247616, SPROHSA247617, SPROHSA251945, SPROHSA350960, SPROHSA350961, SPROHSA350962, SPROHSA350963, SPROHSA350964, SPROHSA48351, SPROHSA48352, SPROHSA48353
SPROHSA110105	SPROHSA110105	SPROHSA110105		93	false	false		SPROHSA110105		29.03	1.0000	0.9890	0.00083194675541	4	0	4	4	0	4	     0	     0	     0			SPROHSA320804, SPROHSA388809, SPROHSA388810
SPROHSA110132	SPROHSA110132	SPROHSA110132		85	false	false		SPROHSA110132		12.94	1.0000	0.9980	0.00000000000000	1	0	0	2	0	0	     0	     0	     0			SPROHSA230296, SPROHSA261158
SPROHSA110383	SPROHSA110383	SPROHSA110383		67	false	false		SPROHSA110383		17.91	1.0000	0.9963	0.00000000000000	2	0	2	2	0	2	     0	     0	     0			SPROHSA116989, SPROHSA12326, SPROHSA141183, SPROHSA285566, SPROHSA301448, SPROHSA345541
SPROHSA110423	SPROHSA110423	SPROHSA110423		98	false	false		SPROHSA110423		10.20	1.0000	0.9891	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			
SPROHSA11056	SPROHSA11056	SPROHSA11056		93	false	false		SPROHSA11056		20.43	1.0000	0.9976	0.00000000000000	4	0	4	7	0	7	     0	     0	     0	10M(15.9949), 3M(15.9949)		SPROHSA181546, SPROHSA305960, SPROHSA321550, SPROHSA377941, SPROHSA76612
SPROHSA110642	SPROHSA110642	SPROHSA110642		46	false	false		SPROHSA110642		30.43	1.0000	0.9934	0.00000000000000	2	0	2	5	0	5	     0	     0	     0	9M(15.9949)		SPROHSA114415, SPROHSA137990, SPROHSA138962, SPROHSA138963, SPROHSA243828
SPROHSA110748	SPROHSA110748	SPROHSA110748		80	false	false		SPROHSA110748		26.25	1.0000	0.9986	0.00000000000000	2	2	2	2	2	2	     0	     0	     0			
SPROHSA111115	SPROHSA111115	SPROHSA111115		73	false	false		SPROHSA111115		16.44	1.0000	0.9981	0.00000000000000	2	0	2	2	0	2	     0	     0	     0			SPROHSA127888, SPROHSA209747, SPROHSA341567, SPROHSA343291, SPROHSA383376, SPROHSA47732, SPROHSA53385
SPROHSA111158	SPROHSA111158	SPROHSA111158		97	false	false		SPROHSA111158		19.59	1.0000	0.9765	0.00288184438040	3	0	3	4	0	4	     0	     0	     0			SPROHSA18709, SPROHSA284411
SPROHSA111162	SPROHSA111162	SPROHSA111162		99	false	false		SPROHSA111162		10.10	1.0000	0.9857	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			SPROHSA128567, SPROHSA129768, SPROHSA179288, SPROHSA200572, SPROHSA200573, SPROHSA200574, SPROHSA24135, SPROHSA241610, SPROHSA241637, SPROHSA342440, SPROHSA357846, SPROHSA39872, SPROHSA39875, SPROHSA39876, SPROHSA39898
SPROHSA11122	SPROHSA11122	SPROHSA11122		73	false	false		SPROHSA11122		27.40	1.0000	0.9974	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			SPROHSA174272, SPROHSA83101
SPROHSA111411	SPROHSA111411	SPROHSA111411		96	false	false		SPROHSA111411		10.42	1.0000	0.9825	0.00144822592324	1	0	1	2	0	2	     0	     0	     0			SPROHSA133970, SPROHSA340102
SPROHSA111475	SPROHSA111475	SPROHSA111475		90	false	false		SPROHSA111475		12.22	1.0000	0.9986	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			SPROHSA111477, SPROHSA343370
