PROTID	GENEID	GRLCL_1D_ETHCD_INT	GRLCL_1D_HCD_INT	GRLCL_2D_ETHCD_INT	
na	na	GRLCL_1D	GRLCL_1D	GRLCL_2D	
O95271	TNKS	0.000000	0.000000	0.000000	
O95273	CCNDBP1	0.000000	0.000000	0.000000	
O95295	SNAPIN	0.000000	0.000000	0.000000	
O95298	NDUFC2	0.000000	0.000000	0.000000	
O95319	CELF2	0.000000	0.000000	0.000000	
O95365	ZBTB7A	0.000000	0.000000	0.000000	
O95373	IPO7	0.000000	0.000000	0.000000	
O95453	PARN	0.000000	0.000000	0.000000	
O95456	PSMG1	0.000000	0.000000	0.000000	
O95466	FMNL1	0.000000	0.000000	0.000000	
O95470	SGPL1	0.000000	0.000000	0.000000	
O95478	NSA2	0.000000	0.000000	0.000000	
O95486	SEC24A	0.000000	0.000000	0.000000	
O95503	CBX6	0.000000	0.000000	0.000000	
O95562	SFT2D2	0.000000	0.000000	0.000000	
O95563	MPC2	0.000000	0.000000	0.000000	
O95573	ACSL3	0.000000	0.000000	0.000000	
O95602	POLR1A	0.000000	0.000000	0.000000	
O95619	YEATS4	0.000000	0.000000	0.000000	
O95644	NFATC1	0.000000	0.000000	0.000000	
O95671	ASMTL	0.000000	0.000000	0.000000	
O95711	LY86	0.000000	0.000000	0.000000	
O95714	HERC2	0.000000	0.000000	0.000000	
O95758	PTBP3	0.000000	0.000000	0.000000	
O95785	WIZ	0.000000	0.000000	0.000000	
O95786	RIGI	0.000000	0.000000	0.000000	
O95793	STAU1	0.000000	0.000000	0.000000	
O95801	TTC4	0.000000	0.000000	0.000000	
O95831	AIFM1	0.000000	0.000000	0.000000	
O95905	ECD	0.000000	0.000000	0.000000	
O95983	MBD3	0.000000	0.000000	0.000000	
O95997	PTTG1	0.000000	0.000000	0.000000	
O96006	ZBED1	0.000000	0.000000	0.000000	
O96009	NAPSA	0.000000	0.000000	0.000000	
P00338	LDHA	0.000000	0.000000	0.000000	
