PROTID	GENEID	GRLCL_1D_ETHCD_INT	GRLCL_1D_HCD_INT	GRLCL_2D_ETHCD_INT	
na	na	GRLCL_1D	GRLCL_1D	GRLCL_2D	
SPROHSA138537		0.000000	0.000000	0.000000	
SPROHSA138604		0.000000	0.000000	0.000000	
SPROHSA138689		0.000000	0.000000	0.000000	
SPROHSA13892		0.000000	0.000000	0.000000	
SPROHSA139134		0.000000	0.000000	0.000000	
SPROHSA139259		0.000000	0.000000	0.000000	
SPROHSA139615		0.000000	0.000000	0.000000	
SPROHSA139637		0.000000	0.000000	0.000000	
SPROHSA139679		0.000000	0.000000	0.000000	
SPROHSA13982		0.000000	0.000000	0.000000	
SPROHSA140023		0.000000	0.000000	0.000000	
SPROHSA140104		0.000000	0.000000	0.000000	
SPROHSA140178		0.000000	0.000000	0.000000	
SPROHSA140318		0.000000	0.000000	0.000000	
SPROHSA140358		0.000000	0.000000	0.000000	
SPROHSA140360		0.000000	0.000000	0.000000	
SPROHSA140623		0.000000	0.000000	0.000000	
SPROHSA140650		0.000000	0.000000	0.000000	
SPROHSA14090		0.000000	0.000000	0.000000	
SPROHSA141526		0.000000	0.000000	0.000000	
SPROHSA141854		0.000000	0.000000	0.000000	
SPROHSA142283		0.000000	0.000000	0.000000	
SPROHSA142482		0.000000	0.000000	0.000000	
SPROHSA142715		0.000000	0.000000	0.000000	
SPROHSA143072		0.000000	0.000000	0.000000	
SPROHSA143493		0.000000	0.000000	0.000000	
SPROHSA143724		0.000000	0.000000	0.000000	
SPROHSA143929		0.000000	0.000000	0.000000	
SPROHSA143990		0.000000	0.000000	0.000000	
SPROHSA144201		0.000000	0.000000	0.000000	
SPROHSA144297		0.000000	0.000000	0.000000	
SPROHSA144351		0.000000	0.000000	0.000000	
SPROHSA144664		0.000000	0.000000	0.000000	
SPROHSA144752		0.000000	0.000000	0.000000	
SPROHSA144821		0.000000	0.000000	0.000000	
SPROHSA144931		0.000000	0.000000	0.000000	
SPROHSA145041		0.000000	0.000000	0.000000	
SPROHSA145693		0.000000	0.000000	0.000000	
SPROHSA145870		0.000000	0.000000	0.000000	
SPROHSA14596		0.000000	0.000000	0.000000	
SPROHSA146		0.000000	0.000000	0.000000	
SPROHSA146003		0.000000	0.000000	0.000000	
SPROHSA146210		0.000000	0.000000	0.000000	
SPROHSA146269		0.000000	0.000000	0.000000	
SPROHSA146594		0.000000	0.000000	0.000000	
SPROHSA14668		0.000000	0.000000	0.000000	
SPROHSA146801		0.000000	0.000000	0.000000	
SPROHSA146943		0.000000	0.000000	0.000000	
SPROHSA14735		0.000000	0.000000	0.000000	
SPROHSA148310		0.000000	0.000000	0.000000	
SPROHSA14857		0.000000	0.000000	0.000000	
SPROHSA148601		0.000000	0.000000	0.000000	
SPROHSA148609		0.000000	0.000000	0.000000	
SPROHSA148724		0.000000	0.000000	0.000000	
SPROHSA148742		0.000000	0.000000	0.000000	
SPROHSA149048		0.000000	0.000000	0.000000	
SPROHSA149097		0.000000	0.000000	0.000000	
SPROHSA149285		0.000000	0.000000	0.000000	
SPROHSA149591		0.000000	0.000000	0.000000	
SPROHSA149791		0.000000	0.000000	0.000000	
SPROHSA150055		0.000000	0.000000	0.000000	
SPROHSA150119		0.000000	0.000000	0.000000	
SPROHSA150167		0.000000	0.000000	0.000000	
SPROHSA150235		0.000000	0.000000	0.000000	
SPROHSA150516		0.000000	0.000000	0.000000	
SPROHSA151143		0.000000	0.000000	0.000000	
SPROHSA15126		0.000000	0.000000	0.000000	
SPROHSA151288		0.000000	0.000000	0.000000	
SPROHSA151363		0.000000	0.000000	0.000000	
SPROHSA151364		0.000000	0.000000	0.000000	
SPROHSA151499		0.000000	0.000000	0.000000	
SPROHSA151722		0.000000	0.000000	0.000000	
SPROHSA151806		0.000000	0.000000	0.000000	
SPROHSA15210		0.000000	0.000000	0.000000	
SPROHSA152439		0.000000	0.000000	0.000000	
SPROHSA15263		0.000000	0.000000	0.000000	
SPROHSA152918		0.000000	0.000000	0.000000	
SPROHSA153299		0.000000	0.000000	0.000000	
